Index,Subject,Message,Spam/Ham
5085,liffe is great,"hello ;
vlsit our medsbymail shop and save over $ 7 0 for medicsne
increase youd pleasure with our drugs ehat will give you a confidence in bed
[ link ] ; ; ; you will be vtctorious with us .
m ; but ; as you know ; he has the core convictions of putty
the agsency sa ids the quakem ; located near the border with nevada ; was fel t t hroughout a wide area .
to leave our mailling list visit here
",1
3806,how cuold you do this to a firned ?,"save up to 70 % on all kind of drugs
quick order pill quick recipes
mnbvf dsw
h rts
to unsubscribe go to this addres
",1
3993,decadent,"soto ;
_ 95 % 0 ff for
all - vi - a - g - r - a
all - ci - a - l i - s
all - le c - v i - t - a _
medicsne id the most plesure bings that money can offer
never agaln live in paine and do not nsjoy the life .
new drugs will change your life
[ link ]
",1
3875,sugper viagrga is fabuklous,"only real super viagdra called ciadlis is effective
vsiit our shop to go out from pain
it ' s time to have fun again
bring joyn and pazsion in your life
hours : monday - friday 10 : 00 am - 5 : 00 pm
or rrply to tviser @ msul . edu
",1
4756,did you notice ?,"never agaln
94 % discuont on best mediscine
when you need a pill - we are alwys there for yiu
and have a nice day .
",1
3162,over 100 new medicsnes entered,"you can get drugs from worldwide manufacturers at our potal
our drugs : violet groomsmen ; crimson bridesmaids and white flower girl dresses
teen or children ' s party games
vestucular ; semincal or via - gra
[ link ]
over 3600 +consultation ; any time of day or night
",1
5305,get 75 percent off on dsrugs,"best mihgt medicsne in the world .
give a new brcath to your family ' s life .
save up to 75 % on all kind of drugs .
you were receving this email because you subscribed at [ link ]
",1
4494,what is your size brother ?,"viiagra and ciialis for hot nights of yoru life
our pills make yoa woman crazy about ya
read and find what you need [ link ]
save up to 30 percent
",1
2453,re : get ready for a new year,"hello ;
all what you need is to go to [ link ] .
relax and enjoy – your drbgs will arrive soon .
mne of the biggest united nstions aid ; they have a lot of stuf .
",1
4685,photoshop windows office cheap software,"ps - 1 9 9 . 3 5 ( retail $ 6 7 0 )
office - $ 7 9 . 9 5
win xp - $ 4 9 . 9 5
special offer - buy two get one free
visit us at : [ link ]
",1
1021,be a perfect lover with our help,"best medicsne on market :
viiagra
ciiallis
lerevtra
save up to 75 % on medcsine
order now : [ link ]
",1
5649,viagra - limited time offer,"vigara and cialis avaiable now
get 40 - 60 % off all meds
we ship worldwide
[ link ]
",1
2373,doctors hate this !,"doctors hate us for selling cheap meds !
get meds without prescription
discounts up to 80 % !
click here : [ link ]
",1
2708,look 10 years younger,"look ten yeers younger in two weeks !
our new cream works wonders
order now and get a free sample
[ link ]
",1
4840,earn money from home,"earn $ 5 0 0 - $ 2 0 0 0 per week from home
no experience needed
just internet access
read more : [ link ]
",1
2210,fast weight loss,"lose 30 pounds in 30 days !
no dieting ; no exercise
click here : [ link ]
",1
3067,cheap replica watches,"get your dream watch for less than $ 5 0 !
replica rolex ; omega ; breitling
order today : [ link ]
",1
4441,casino bonus inside,"online casino special offer
sign up now and get $ 1 0 0 free bonus
play now : [ link ]
",1
5120,credit card approved,"your credit card application has been approved
click here to claim : [ link ]
",1
2899,meet singles in your area,"meet singles in your area today
free sign up
start now : [ link ]
",1
3770,work from home opportunity,"earn extra cash working from home
we train you
details : [ link ]
",1
4988,online degree available,"get your degree online in 6 months
no classes required
info : [ link ]
",1
4133,free vacation offer,"you have been selected for a free vacation
call now : 1 - 8 0 0 - 1 2 3 - 4 5 6 7
",1
3505,refinance your home,"low interest rates available
refinance and save
quote : [ link ]
",1
4622,enlarge your account balance,"double your money in 30 days
guaranteed returns
more info : [ link ]
",1
4277,free ringtone,"get free ringtones for your phone
register at : [ link ]
",1
3199,online pharmacy sale,"save up to 80 % on prescriptions
order : [ link ]
",1
5401,amazing mortgage rates,"amazing mortgage rates starting at 3 . 5 %
apply now : [ link ]
",1
3333,hot stock tip,"this stock is about to explode !
ticker : abcd
target : $ 5 . 0 0
more info : [ link ]
",1
4602,low cost life insurance,"low cost life insurance
no medical exam
quote : [ link ]
",1
3959,make money online fast,"make money online fast
start today for $ 9 . 9 5
details : [ link ]
",1
2810,instant approval loan,"instant approval loan up to $ 1 0 0 0 0
apply : [ link ]
",1
4699,super low car insurance,"super low car insurance rates
get quote : [ link ]
",1
3588,free trial offer,"free trial of our new product
click here : [ link ]
",1
4102,viagra cialis levitra,"viagra ; cialis ; levitra
discounts up to 70 %
order now : [ link ]
",1
5244,earn cash taking surveys,"earn cash by taking surveys
up to $ 5 0 each
join free : [ link ]
",1
3012,save on prescriptions,"save money on prescriptions today
order : [ link ]
",1
4530,unlock your phone,"unlock your phone for any carrier
order unlock code : [ link ]
",1
4725,lose weight fast,"fast weight loss with our new pill
clinical results
info : [ link ]
",1
